finding_id,is_on_topic,reasoning_note
finding-246,1,Flamengo Libertadores match cancelled after vandalism — football
finding-285,1,Pachuca beats Monterrey in Liga MX Femenil semi — football
finding-321,1,Real Madrid Valverde injury in fight with Tchouaméni — football
finding-789,1,Real Madrid prepares exemplary economic sanction for Valverde/Tchouaméni — football
finding-790,1,Valverde's turbulent year — football
finding-791,1,"Valverde denies fighting, asks pardon, points to dressing room — football"
finding-792,1,Real Madrid 'fight club' and leaks — football
finding-811,1,How to live El Clásico in the rival's territory — football
finding-853,1,Rayo's Strasbourg storm leads Vallecas to Conference final — football
finding-855,1,Rafa Jódar debuts at Masters 1000 Rome beating Borges — tennis
finding-856,1,On the other side of the semifinal — sport
finding-882,1,Half of La Liga fighting relegation — football
finding-893,1,Torreira leaving Galatasaray date and new club — football
finding-947,1,Real Madrid Valverde statement after fight — football
finding-1034,1,Flamengo match cancelled after confusion in Medellín — football
finding-1103,1,Giro d'Italia live with Egan Bernal stage 1 — cycling
finding-1118,1,Sevilla and Espanyol final at Sánchez-Pizjuán — football
finding-1139,0,ONPE final count Fujimori et al. for Peruvian runoff — elections not in themes
finding-1141,1,More images of Medellín fan protest in Libertadores match vs Flamengo — football
finding-1144,1,Real Madrid searches 'topo' leaking the fights — football
finding-1164,1,Spanish Rafa Jódar to third round in Rome — tennis
finding-1165,1,Beltrán part-training with Valencia — football
finding-1181,1,Jódar matures in Rome with character — tennis
finding-1189,1,Jorge Araujo on Santamaría-Riveros swap in Universitario defeat — football
finding-1328,1,Dressing-room fight leaves Real Madrid captain in hospital — football
