finding_id,is_on_topic,reasoning_note
finding-242,0,"Favela Nova Brasília chacinas document — Brazilian civil-society piece, not in themes"
finding-331,0,"Antonio Mohamed on Argentine Selección caos — football, not in themes"
finding-604,1,Basilico's Luxembourg recourse on Delfin share-quotas — Basilico/Delfin theme
finding-606,0,"Father of Sempio Vigevano receipt note — Italian Garlasco case, not Basilico/Delfin"
finding-608,1,Basilico Luxembourg recourse on Delfin transfer procedure — Basilico/Delfin theme
finding-838,0,"Inside Ángel Simón on Escribano purchase — Spanish business, not in themes"
finding-911,1,Gölcük 1st Sulh Hukuk Mah Satış Memurluğu — Turkish court notice template
finding-921,1,Istanbul 12th Family Court — Turkish court notice template
finding-922,1,Demirci 1st Asliye Hukuk Mahkemesi — Turkish court notice template
finding-923,1,Samsun 8th Asliye Hukuk Mahkemesi — Turkish court notice template
finding-924,1,Istanbul 36th Asliye Hukuk Mahkemesi — Turkish court notice template
finding-925,1,Bakırköy 16th Ağır Ceza Mahkemesi — Turkish court notice template
finding-926,1,Istanbul Anadolu 11th Asliye Ticaret Mahkemesi — Turkish court notice template
finding-927,1,Istanbul 21st Asliye Ceza Mahkemesi — Turkish court notice template
finding-928,1,Izmir 61st Asliye Ceza Mahkemesi Hakimliği — Turkish court notice template
finding-929,1,Antalya 18th Asliye Ceza Mahkemesi Hakimliği — Turkish court notice template
finding-930,1,Adana 11th Asliye Hukuk Mahkemesi Hakimliği — Turkish court notice template
finding-931,1,Gaziantep İcra Dairesi Müdürlüğü — Turkish court notice template
finding-1009,0,"Daphne Bozaski on having a child — TV-actress personal feature, not in themes"
finding-1026,0,"Father turned bets 'desinfluenciador' — lifestyle feature, not in themes"
finding-1145,0,"Briceño asks not to search for missing journalist Mateo Pérez — Colombian missing-journalist, not in themes"
finding-1362,0,"Guinea ONU calls for release of opposition musician Elie Kamano — Guinean political, not in themes"
finding-1364,0,"Cameroun tensions around Anicet Ekane funeral — Cameroun political, not in themes"
