finding_id,is_on_topic,reasoning_note
finding-266,1,Sinaloa gastronomy feature on aguachile/chilorio — food culture
finding-286,1,Édgar Núñez Michelin chef joins Masterchef 24/7 — culture/entertainment
finding-287,1,La Sombra del Sabino café feature — lifestyle/food
finding-601,1,Ozpetek's Christmas film cast — Italian cinema
finding-637,1,Annette Messager exhibition at Musée de la Chasse — art
finding-797,1,Marta Sánchez 60th-anniversary moments — music figure
finding-814,1,Sonsoles Ónega inaugurates San Isidro with pregón — Madrid cultural festival
finding-815,1,theater/dance premieres of the week — theater
finding-820,1,El Roto exhibition — art
finding-822,1,'Gracias por todo Soledad' tribute column — culture/tribute
finding-832,1,'L'etern retorn de Gaziel' literary piece — literature
finding-836,1,Spain's black/slavery memory in history — cultural history
finding-844,1,'Hangar rojo' opera prima on Pinochet coup — cinema
finding-848,1,Pet-business entrepreneur and Trump's cultural offensive at Venice Biennale — art/politics
finding-849,1,Silvio Rodríguez's first rock and roll friendship with Alejo Stivel — music
finding-858,1,Hermanos Artidiello Asturian guisos guardians — food culture
finding-860,1,Mariposa graellsia search in Guadarrama — nature/lifestyle feature
finding-885,1,"Política, discoteca and bono cultural at San Isidro Feria — bullfighting/culture"
finding-887,1,Morante and Roca Rey absent from Valladolid — bullfighting
finding-1014,1,Othon Bastos postpones Brasília show after tendon rupture — theater
finding-1025,1,Dries Van Noten inaugurates Venice foundation — art/fashion
finding-1036,1,'Três Graças' cast reunion after filming end — TV
finding-1050,1,'Florações' exhibition Claudia Liz Adriano Damas — art
finding-1054,1,Casa Rios restaurant review — food
finding-1056,1,'O Urso' surprise no-chef episode review — TV
finding-1057,1,Letícia Spiller on son Pedro Novaes 'A Viagem' — TV
finding-1058,1,Grazi Massafera farewells Três Graças — TV
finding-1071,1,Barbara Reis defends Três Graças villain — TV
finding-1080,1,Heloísa Périssé's daughter reacts to dating comment — entertainment
finding-1089,0,"Flávio and Ciro Nogueira hand-in-hand? — Brazilian political-scandal piece, not entertainment"
finding-1127,1,Italian painter Pontormo at the Prado — art
finding-1129,1,Rytas and AEK basketball quarterfinal — sport
finding-1187,1,Three new studies expanding origins of Spanish language to 10th-11th c. — cultural research
finding-1192,1,Uruguayan Martín Satriano on Getafe-Oviedo — sport
