finding_id,is_on_topic,reasoning_note
finding-244,1,Chilean fishing-line factory closed in Rio — business
finding-248,0,"Fiocruz malaria patent — institutional/medical research, not in service/lifestyle/business themes"
finding-249,0,"PF operation dismantles drug-trafficking scheme — police/crime, not in themes"
finding-787,1,Renewable creditors threaten to seize Spanish team's World Cup money — business/legal
finding-842,1,'My landlady is evicting us — can she?' — lifestyle/legal Q&A
finding-863,1,"Three houses of the week, Somosaguas — real-estate/lifestyle"
finding-867,1,Amazon weekly bargains up to 65% off — consumer
finding-872,0,"Valencia extortion endless spiral — crime feature, not service/lifestyle/business primary"
finding-1001,1,Third sector as transformation engine in communities — NGO/service
finding-1002,1,Venice will be lost without quick flood action — urban/environment feature
finding-1017,1,Cantareira system loses 19.5 bn litres in a month — Brazilian water/environment
finding-1019,1,Pague Menos supermarket sees fewer absences with 5x2 schedule — business/labor
finding-1023,1,Mother's Day expected to benefit ~1m SP small businesses — business
finding-1028,1,How to consult Desenrola offers via banks — consumer finance
finding-1039,1,Felipe Vorcaro lavish life — lifestyle/scandal feature
finding-1046,1,Bartenders adapt mocktail techniques in SP — lifestyle/food
finding-1047,0,"Copa 2030 exposes Morocco ambition-vs-inequality tension — sport/development, not in themes"
finding-1052,1,SP city hall forecasts R$51.2bn debt in 2027 — Brazilian municipal economy
finding-1059,1,Soybean chain may leave more income in domestic market — agriculture/economy
finding-1063,1,SUS quality needs more investment and innovation — Brazilian health-service
finding-1065,1,Contradictory signals in Brazilian mineral agenda — mining/policy
finding-1073,1,Argentina liberalises vapes despite medical opposition — consumer regulation
finding-1083,1,Miners criticise state intervention in critical-minerals project — mining/policy
finding-1371,0,"Interpol: Africa frontline against fake-medicine trafficking — Africa pharma trafficking, not LatAm focus"
