finding_id,is_on_topic,reasoning_note
finding-851,0,"Brazilian politics, no Iran connection"
finding-291,0,"Pakistani terror plot, no Iran connection"
finding-68,0,"UK-Israel commentary, no Iran framing"
finding-956,0,"Chad/Nigeria yihadistas, no Iran"
finding-478,0,"Borderline: India austerity in response to Iran war; third-country reaction not Iran posture"
finding-447,0,"Hantavirus cruise ship, no Iran"
finding-425,0,"African film awards, no Iran"
finding-325,0,"Hantavirus deaths, no Iran"
finding-951,0,"Argentine football, no Iran"
finding-281,0,"Hantavirus 2018 memory piece, no Iran"
finding-889,0,"São Paulo municipal debt, no Iran"
finding-955,0,"UK sanctions on Russia for Ukraine, no Iran"
finding-1110,0,"Vietnam grain imports, no Iran"
finding-755,0,"Turkish party court ruling (Saadet), no Iran"
finding-266,0,"Mexican Sinaloa cartel, no Iran"
finding-801,0,"China-Caucasus trade ties, no Iran focus"
finding-629,0,"Latvia drone airspace; Russia-Ukraine context, no Iran"
finding-77,0,"Borderline: Hezbollah-Israel border clash, no Iran framing in text"
finding-75,0,"Borderline: Hezbollah drone tactics vs Israel, no Iran framing in text"
finding-272,0,"India-Pakistan tensions (Op Sindoor), no Iran"
finding-420,1,"Trump dismisses Iran proposal to end war + Hormuz disruption — direct"
finding-435,0,"US soldier body recovered in Morocco exercise, no Iran"
finding-714,0,"Spanish private-equity AI usage, no Iran"
finding-813,0,"Nigerian Big Brother star, no Iran"
finding-71,0,"Jerusalem Silwan demolitions, Israel-Palestine not Iran-framed"
finding-771,0,"Turkish court announcement (empty summary), no Iran"
finding-400,0,"Korea JoongAng editorial on N.Korean troops in Russia parade, no Iran"
finding-930,0,"Lula post-surgery walk, no Iran"
finding-862,0,"Brazilian Ypê factory sanitary inspection, no Iran"
finding-915,0,"US-Taiwan defense criticism re China, no Iran"
finding-626,0,"Polish ex-minister flees Hungary, no Iran"
finding-422,0,"Borderline: Modi austerity as Iran-war response; third-country reaction"
finding-656,0,"Hantavirus outbreak live updates, no Iran"
finding-800,0,"Timor-Leste 20yr independence reflection, no Iran"
finding-481,0,"German DM in Kyiv + Stuttgart pro-Palestine trial, no Iran"
finding-1025,0,"British Steel nationalization announcement, no Iran"
finding-1087,0,"Borderline: Modi self-reliance push vs West Asia crisis; third-country reaction"
finding-26,1,"Macron on France-Iran coordination re Hormuz — direct Iran diplomacy"
finding-974,0,"Brazil freight transport diversity stats, no Iran"
finding-1022,0,"Embraer Q1 earnings, no Iran"
finding-360,1,"S.Korea defense ministry on Hormuz ship probe — Hormuz/Iran war context"
finding-911,0,"TV/streaming recommendations Brazil, no Iran"
finding-545,0,"Ukrainian infantry on Donetsk front, no Iran"
finding-356,1,"S.Korea presidential office: Hormuz civilian ship attacks — direct context"
finding-417,0,"Borderline: Iranian Nobel laureate health/bail, not negotiations-related"
finding-1177,0,"Sierra Leone narcotraficant cargo, no Iran"
finding-978,0,"Spanish immigration regularization legal, no Iran"
finding-541,0,"German housing stats, no Iran"
finding-271,0,"Borderline: Sensex falls on oil rally; third-country market response"
finding-586,0,"Werner Herzog declines Cannes invitation, no Iran"
