finding_id,is_on_topic,reasoning_note
finding-3,1,Iran says US making unreasonable demands negotiations end war Baghaei — direct
finding-9,1,Iran war day 73 Trump Tehran clash latest peace proposals — direct
finding-19,1,Trump calls Iran response totally unacceptable — direct
finding-27,1,Yemen Ansarullah warns US after Trump rejected Iran's proposal — direct
finding-28,1,US suffers total defeat war against Iran Kagan strategic collapse — direct
finding-31,1,Iran says proposal generous US insists unreasonable demands — direct
finding-32,1,Trump's deadly trap rejecting Iran's proposal strategic nightmare — direct
finding-34,1,Iran peace plan demands war compensation sovereignty Hormuz — direct
finding-39,1,Trump rebuffs Iranian response latest US proposal end war — direct
finding-65,1,Iran describes proposal to end war with US legitimate generous — direct
finding-67,0,MEE Morning update multi-topic newsletter
finding-76,1,Iran demands sovereignty over Hormuz in counterproposal to US — direct
finding-121,1,Trump Tehran Qatari tanker transit overnight 10th week — direct
finding-129,1,Trump calls Iran's response to US peace proposal unacceptable — direct
finding-212,1,Irã envia resposta a proposta de paz dos EUA — direct
finding-245,1,La guerra sigue Trump Irán rechazan propuestas paz — direct
finding-251,1,Ya no se reirán más Trump arremete contra Irán Obama Biden — direct
finding-288,1,Iran legitimate demands peace proposal rejected Trump totally — direct
finding-304,1,Trump rejects unacceptable Iranian terms ending war Pakistani — direct
finding-323,1,Iran describes proposal end war US legitimate naval blockade — direct
finding-412,1,Trump calls Iran response US proposal end war totally unacceptable Hormuz — direct
finding-449,1,Middle East crisis Trump rejects Iran response Tehran retaliate — direct
finding-450,1,Trump calls Iran totally unacceptable ceasefire frays drones Gulf — direct
finding-468,0,NPR morning brief multi-topic Trump heads China amid Iran war
finding-472,1,Trump rejects Iran's latest response US ceasefire proposal Pakistani — direct
finding-484,1,Iran war Trump rejects proposal end conflict totally unacceptable — direct
finding-507,1,Trump to Axios I don't like Iran peace plan response — direct
finding-515,1,Trump says Iran's response peace proposal unacceptable oil — direct
finding-532,1,Trump Iran totally unacceptable French-British Hormuz operation — direct
finding-548,1,Iran wehrt sich gegen Kritik Trump Vorschlag legitim großzügig — direct
finding-558,1,Trump findet Irans Antwort völlig inakzeptabel US-Vorschlag — direct
finding-564,1,Iran übermittelt Antwort US-Vorschlag 14-Punkte Verhandlungen — direct
finding-573,1,Trump Antwort aus Iran völlig inakzeptabel Netanyahu — direct
finding-598,1,Трамп ответ Ирана мирное предложение неприемлемым — direct
finding-635,0,Iran's new atomic bomb US policy pushed brink column
finding-639,1,Maximum pressure minimum victory US lost momentum in Iran — direct
finding-643,1,Iran's response to US peace terms totally unacceptable Trump RT — direct
finding-664,1,Trump considera totalmente inaceptable respuesta Irán sanciones Ormuz — direct
finding-816,1,Iran demands end to war release frozen assets in response to US — direct
finding-823,1,Trump rejects Iran peace terms Tehran warns new attacks — direct
finding-897,1,Petróleo Trump iraniana inaceitável abre alta — direct
finding-1021,1,Irán no cede negociaciones EE.UU. imponer exigencias Trump — direct
finding-1052,1,Trump calls Iran's response to US peace proposal unacceptable — direct
finding-1162,1,If Trump wants out of war he needs to stand up Israel Lebanon — direct
finding-1182,1,Guerre Moyen-Orient EE.UU. exigences déraisonnables Trump Iran — direct
