finding_id,is_on_topic,reasoning_note
finding-131,1,"Ukraine Russia accuse each other breaking US-brokered ceasefire — direct"
finding-1064,1,"Russia Ukraine accuse each other violating 3-day truce — direct"
finding-21,1,"Russia and Ukraine accuse other of ceasefire violations — direct"
finding-263,1,"Rusia acusa Ucrania romper tregua tres días mediada EE.UU. — direct"
finding-666,1,"Rusia Ucrania mutuamente alto fuego Jersón Zaporiyia civiles — direct"
finding-641,1,"Ukraine violated Victory Day ceasefire 16,000 times Russian MOD — direct"
finding-606,1,"Война 1537-й день перемирия нарушения — direct"
finding-623,1,"Victory Day ceasefire draws to close Russian attacks 3 civilians — direct"
finding-619,1,"Ukraine POW exchange list Russia US guarantees during ceasefire — direct"
finding-630,0,"Putin says war in Ukraine almost over Victory ours"
finding-18,0,"Things not going well for Russia stalled advance economic"
finding-426,0,"Putin Ukraine conflict coming to end backing Zelensky"
finding-804,0,"Central Asian states sanctions-busting Russia"
finding-444,1,"Kallas criticises Putin very cynical Ukraine ceasefire calls Schröder — direct"
finding-651,0,"Soviet sacrifice WWII RT historical"
finding-633,0,"Russia still superpower Victory Day parade analysis"
finding-602,1,"Зеленский Путин подтолкнули реальным переговорам трехдневное перемирие — direct"
finding-645,0,"Moscow expects explanations Yerevan Zelensky"
finding-803,0,"Armenia thumbs nose Kremlin EU endorsement"
finding-578,0,"Russland Bundesregierung Organisierte Kriminalität gezielte Tötungen"
finding-155,1,"Russians strike Zaporizhzhia 785 times in one day one killed — direct during truce"
finding-563,0,"Putin schlägt Schröder als Vermittler Reaktionen gemischt"
finding-605,0,"Путин Шредер переговорщик отвергли"
finding-627,1,"Ukraine respond in kind if Russia refrains mass aerial Zelensky — direct"
finding-631,0,"Germany skeptical Putin Schroeder mediator Ukraine"
finding-625,0,"Russia has lost 1,342,030 troops in Ukraine cumulative"
finding-528,0,"Madagascar Russia African stronghold junta weapons"
finding-649,0,"Kremlin explains impasse Ukraine peace talks Donbass"
finding-667,0,"Putinismo borrado crímenes soviéticos Memorial Katyn"
finding-134,1,"Ukraine reports multiple casualties second day Russia truce — direct"
finding-158,1,"Russian strike Zaporizhzhia region one injured houses damaged — direct during truce"
finding-153,1,"War update 180 combat engagements over past day — direct during truce"
finding-628,0,"Analysis Is Ukraine starting to win war again"
finding-47,1,"Zelenskyy says Ukraine pushed Putin a little toward potential meeting — direct ceasefire context"
finding-617,0,"Москва контуженная 9 Мая интернет шатдаун"
finding-154,0,"Russia loses 920 troops 76 artillery past day cumulative"
finding-486,0,"Could German ex-leader Schröder really negotiate Ukraine"
finding-646,0,"Deutschland über alles German rearmament NATO"
finding-609,0,"Журналистка Кузбасс мать пропавшего Бессмертный полк"
finding-132,0,"UK sanctions Russian disinformation outfit Armenian elections"
finding-9,0,"Iran war day 73 Trump Tehran peace proposals"
finding-150,0,"Russia no right appoint EU negotiator Kallas Schröder"
finding-861,0,"Teste americano cruzeiro positivo hantavírus"
finding-618,0,"Венецианская биеннале репортаж"
finding-597,0,"Россияне Саудовскую Аравию без визы"
finding-147,1,"Russian forces launch 250 attacks Ukrainian border guards drones — direct during truce"
finding-639,0,"Maximum pressure minimum victory US lost momentum in Iran"
finding-67,0,"MEE Morning update multi-topic newsletter"
