finding_id,is_on_topic,reasoning_note
finding-832,1,"Brote hantavirus MV Hondius live cepa Andes contagios — direct"
finding-523,1,"Two cruise ship evacuees test positive for hantavirus US France — direct"
finding-540,1,"Kreuzfahrtschiff zwei weitere Hantavirus positive Französin — direct"
finding-89,1,"More passengers hantavirus-hit cruise ship test positive French American — direct"
finding-445,1,"Evacuated US French MV Hondius passengers test positive — direct"
finding-447,1,"Hantavirus cruise ship passengers isolation facility UK Merseyside — direct"
finding-475,1,"Hantavirus Evacuated passengers begin returning home Germany — direct"
finding-592,1,"Пассажиры Франции США Хондиус хантавирус AP — direct"
finding-298,1,"US French nationals from hantavirus ship test positive — direct"
finding-408,1,"Passengers leave hantavirus-hit cruise ship Tenerife WHO — direct"
finding-746,1,"Hantavirüs semptomları tahliye yolcular DSÖ alarma — direct"
finding-1196,1,"One American tested positive other mild hantavirus flight 17 — direct"
finding-1127,1,"Pháp ca Hantavirus đầu tiên ổ dịch tàu Đại Tây Dương Rist — direct"
finding-470,1,"US cruise passengers arrive hantavirus mildly positive French — direct"
finding-259,1,"Evacúan pasajeros crucero hantavirus repatriación Madrid hospital — direct"
finding-616,1,"MV Hondius Тенерифе Гранадилья хантавирус вспышка — direct"
finding-448,1,"Hantavirus ship MV Hondius Tenerife tourist attraction Canary — direct"
finding-4,1,"Two more cruise ship passengers test positive hantavirus French American — direct"
finding-753,1,"Hantavirüs tahliyesi Tenerife kruvaziyer yolcular — direct"
finding-570,1,"Hantavirus-Verdacht Atlantikinsel Fallschirmsprung Hondius — direct"
finding-636,1,"US decision hantavirus-hit ship passengers risks WHO chief — direct"
finding-1084,1,"2 Indians aboard cruise ship hantavirus cases Netherlands — direct"
finding-430,1,"Tourist hotspot end of the world denies hantavirus outbreak Ushuaia — direct"
finding-216,1,"Passageiros começam deixar navio MV Hondius surto hantavírus — direct"
finding-656,1,"Última hora brote hantavirus Sanidad pasajeros cuarentena — direct"
finding-577,1,"Hantavirus was gegen Pandemie spricht MV Hondius — direct"
finding-411,1,"US French nationals test positive hantavirus after leaving ship Nebraska — direct"
finding-325,1,"US French nationals hantavirus ship test positive Dutch couple German woman died — direct"
finding-572,1,"Evakuierung Hondius Teneriffa Passagiere Crew — direct"
finding-562,1,"Deutsche Passagiere Hondius auf dem Weg in die Heimat — direct"
finding-373,1,"N Korea flags hantavirus danger amid cruise ship outbreak — direct"
finding-1055,1,"Evacuation flights leave Tenerife cruise ship virus outbreak — direct"
finding-993,1,"Llegan Alemania cuatro pasajeros sin síntomas crucero HV Hondius — direct"
finding-35,1,"Last evacuation flights hantavirus-hit cruise ship Monday 94 — direct"
finding-796,1,"Ölüm gemisinde MV Hondius Hantavirüs nereden — direct"
finding-942,1,"Pueblo Patagonia hantavirus amenaza desde hace crucero Argentina — direct background"
finding-162,1,"Ukraine records dozens of hantavirus cases each year Public Health — direct"
finding-38,1,"French passenger develops symptoms after evacuation hantavirus cruise — direct"
finding-416,1,"French national shows symptoms return hantavirus-hit ship Paris quarantine — direct"
finding-499,1,"Una francese positiva all'hantavirus sintomi peggiorati primo caso Francia — direct"
finding-524,1,"Hantavirus first positive France break chain transmission five French — direct"
finding-662,1,"Fernando Simón hantavirus comparación covid sangre — direct"
finding-642,1,"British army parachutes hantavirus response team remote island — direct"
finding-1119,1,"Vận tải cơ Anh 3000km lính điều trị Hantavirus Đại Tây Dương — direct"
finding-709,1,"Bloqueo tratado pandemias OMS plena crisis hantavirus — direct"
finding-102,1,"Hong Kong medical hub global hantavirus alarm pandemic preparedness — direct"
finding-958,1,"España coordinación hantavirus agradecer Guterres — direct"
finding-106,1,"Paratroopers Britain's most remote island hantavirus mission — direct"
finding-175,1,"South Africa team scientists hunted rare hantavirus strain — direct"
finding-1003,1,"Cuatro alemanes evacuados MV Hondius hospital Fráncfort — direct"
finding-281,1,"Family Table Empty hantavirus 2018 outbreak Mailen Valle — direct background"
finding-861,1,"Teste americano cruzeiro positivo hantavírus 17 americanos — direct"
finding-1189,1,"France strict measures after citizen tests positive hantavirus flight — direct"
finding-1017,1,"Sánchez resalta coordinación hantavirus agradecer Guterres — direct"
finding-1106,0,"Nam shipper bị khách hành hung yêu cầu thử hàng"
finding-584,0,"Straße von Gibraltar Grindwale Schiffslärm Staubsauger"
finding-280,0,"Middle East Conflicts danger to Whales South Africa"
finding-681,0,"Ballenas calderones Gibraltar ruido barcos decibelios"
finding-474,1,"Endemic epidemic pandemic difference Andes hantavirus outbreak — direct"
finding-979,1,"Mujer ingresada Alicante sospechas hantavirus tercera PCR — direct"
finding-1150,0,"CrisisWatch ICG On Our Radar weekly"
finding-264,0,"Te falta el aire asma pulmones crisis señales"
finding-324,0,"Indonesia warns hub transnational cybercrime Jakarta Batam"
finding-1170,0,"Sud-Kivu RDC trafic suspension Bukavu Uvira"
finding-860,0,"Coordenação mensagens WhatsApp ataca Anvisa Ypê"
