finding_id,is_on_topic,reasoning_note
finding-5,0,Ukraine may have turned tide ISW — broader war analysis
finding-13,1,Russia Ukraine trade fire blame despite Victory Day ceasefire — direct
finding-15,1,Russia scales back Victory Day amid Ukraine assaults — direct
finding-38,1,Russia Ukraine accuse each other violating Victory Day ceasefire — direct
finding-135,1,Russia Readies Dialed-Down Victory Day Spectacle Drones — direct
finding-150,0,"Russian strikes 17,400 civilians since full-scale war — cumulative"
finding-156,0,596 strikes on energy infrastructure cumulative
finding-161,1,Zelensky says Russia violated ceasefire 140 strikes 10 assaults — direct
finding-163,0,"Russian war casualty toll past day 1,130"
finding-503,1,Russia and Ukraine accuse each other Victory Day ceasefire breaches — direct
finding-547,1,Ukraine and Russia breaking proposed ceasefires Victory Day — direct
finding-580,1,Why Russia has scaled back May 9 Victory Parade — direct
finding-584,1,Ukraine Russia trade attacks despite ceasefire WWII commemorations — direct
finding-659,1,Schwere Angriffe trotz Waffenruhe Jahrestag Sieges — direct
finding-680,0,Russia Stimmungswechsel Putin economic — broader Putin pressure
finding-705,1,Зеленский Россия даже не имитирует перемирие — direct
finding-710,1,Началось одностороннее перемирие до 10 мая — direct
finding-713,1,Российский МИД негодование Зеленский Армения трибуна — direct Yerevan
finding-726,1,Зеленский война день 1534 главный парад завис — direct
finding-734,0,Putin administration crafting 'sell-victory' framing for war end — broader peace narrative
finding-736,0,Russia air defenses can't protect oil refineries from drones — broader war analysis
finding-741,1,Confusion surrounds Victory Day ceasefire drone attacks — direct
finding-742,0,Russia will strike Ukraine energy grid again analysis — different angle
finding-750,1,Why Moscow is afraid this Victory Day — direct
finding-759,0,History of how May 9th became chief national holiday — historical context
finding-772,1,Kiev targets Russia drones after Moscow Victory Day ceasefire — direct
finding-778,0,Ukraine strikes Zaporozhye NPP Energodar — different war angle
finding-953,0,Central Asian states sanctions-busting report
finding-1134,0,La purga de altos mandos militar ruso — Russian military purge
finding-1190,1,Alemania inaceptable amenaza rusa represalias Kiev 9 mayo — direct
finding-1359,1,Ukraine gouvernement humanitarian Kherson + cessez-le-feu Moscou — direct
finding-1396,1,Russia's pared-down Victory Day parade Ukraine war — direct
