finding_id,is_on_topic,reasoning_note
finding-174,1,"SA Constitutional Court Parliament unlawfully blocked Ramaphosa impeachment — direct"
finding-585,1,"SA Constitutional Court orders Parliament revisit Ramaphosa — direct"
finding-962,1,"S'Africa court overturns vote quashing Ramaphosa impeachment — direct"
finding-506,1,"SA president call to resign after court ruling — direct"
finding-208,1,"Gachagua warns impeachment ruling sets political-vendetta precedent — direct (per summary)"
finding-1108,0,"Spanish TS/CGPJ judicial independence speech, no SA"
finding-1018,0,"Brazilian desembargador Carlos Henrique Abrão intimidação"
finding-1093,0,"Bukele eliminates opposition Tribunal Electoral El Salvador"
finding-800,0,"Spanish judge archives Vito Quiles vs Santaolall case"
finding-1088,0,"Alcolumbre seeks meeting with Lula after Messias defeat"
finding-233,0,"Nigeria Senate amends Electoral Act pre-election disputes"
finding-251,0,"Brazil Moraes hacker Delgatti regime aberto"
finding-1090,0,"Brazil senator pede afastamento Kassio CPI Master"
finding-253,0,"Mexico cancelación reforma judicial PAN PRI"
finding-1373,0,"Côte d'Ivoire opposition conditions after CEI dissolution"
finding-262,0,"INE Mexico Chapitos injerencia electoral"
finding-67,0,"Bahrain expels MPs over royal decree vote"
finding-339,0,"Vadhir Derbez accuses extortion with denuncia"
finding-1382,0,"Hungary Magyar brother-in-law justice minister bid dropped"
finding-725,0,"Moscow court eases pretrial Popcorn Books staff"
finding-194,0,"Liberia Tweah economic sabotage criminal court final arguments"
finding-1128,0,"Argentina YPF case Burford demand after appeal win"
finding-69,0,"Duplicate Bahrain MPs expulsion"
finding-799,0,"Spain Congreso temporary expulsion of Vito Quiles Bertrand Ndongo"
finding-496,0,"South Korea parliament fails constitutional amendment PPP boycott"
finding-810,0,"Spain Audiencia Nacional refuses semilibertad to ETA member Vicario"
finding-359,0,"India Chief Justice recalls career-advice anecdote"
finding-884,0,"IOC lifts sanctions on Belarus imposed after Ukraine invasion"
finding-1152,0,"Colombia general Zapateiro audiencia imputación cargos"
finding-1077,0,"Brazil Janaína Paschoal pede Tereza Cristina substitua Ciro PP"
finding-905,0,"Turkey Eskişehir mayor cyber-harassment second hearing"
finding-967,0,"Nigeria APC screening receives petition against Ekiti senator"
finding-250,0,"Brazil Mendonça STF acceso à proposta delação Vorcaro"
finding-1029,0,"Brazil Moraes revisão da vida toda STF retomada"
finding-707,0,"Russia new human rights ombudsman Lantratova lobbying"
finding-965,0,"Nigeria 2026 Ekiti gubernatorial Oyebanji continuity"
finding-1140,0,"Spain Kiko Matamoros condena 1 año 9 meses Matesanz"
finding-483,0,"Korea JoongAng Daily editorial constitutional vote"
finding-461,0,"South Korea top court Hankook chairman 2-yr embezzlement"
finding-935,0,"Turkey Aleyna Çakır Ümitcan Uygun istenen ceza"
finding-363,0,"India Supreme Court Madhya Pradesh minister remarks delay"
finding-658,0,"Germany Commerzbank UniCredit Stellenabbau"
finding-1358,0,"DRC Tshisekedi third-mandate opposition critique"
finding-1044,0,"Brazil Senado obsolescência programada consumidor"
finding-808,0,"Spain Salamanca court blocks Asunta father furlough"
finding-1367,0,"Congo-Brazzaville new government no novelty"
finding-239,0,"Nigeria former lawmaker seeks re-election APC primary mode"
finding-326,0,"Mexico Sheinbaum Adán Augusto huachicol fiscal case"
finding-875,0,"US trade court universal 10% tariff ruling — different topic"
finding-424,0,"SK appeals court ex-prosecutor bribery ex-first-lady"
finding-1067,0,"Brazil Ciro Nogueira nova frente caso Master"
finding-1043,0,"Brazil aliados Flávio desgaste Ciro Nogueira"
finding-201,0,"SA xenophobic violence African Commission warning — different SA story"
finding-608,0,"Italy Rocco Basilico Lussemburgo Delfin quote"
finding-454,0,"SK anti-corruption body demands probe handbag scandal"
finding-809,0,"Spain Cuenca prófugo agresiones sexuales detenido"
finding-238,0,"Nigeria NBA condemns criminalisation of defamation"
finding-1084,0,"Brazil Moraes regime aberto hacker tornozeleira Zambelli"
finding-340,0,"Mexico El Chapo nuevo juicio EU culpa al gobierno"
finding-1051,0,"Brazil STF e Supremo EUA tensão Judiciário"
finding-294,0,"Mexico Ignacio Peralta exgobernador Colima peculado"
finding-930,0,"Turkey ADANA 11 ASLİYE HUKUK MAHKEMESİ legal notice"
finding-1123,0,"Bulgaria Parlamento aprueba gobierno Radev"
finding-1015,0,"Brazil podcast operação Ciro Nogueira Master Vorcaro"
finding-604,0,"Italy Basilico Lussemburgo Delfin duplicate"
finding-568,0,"US New Orleans child molester Burkhardt takes fifth"
finding-230,0,"Nigeria media aide ex-Anambra governor 2027 assembly"
finding-928,0,"Turkey İZMİR ASLİYE CEZA legal notice"
finding-1039,0,"Brazil Felipe Vorcaro Copacabana Palace luxury"
finding-817,0,"Spain sentencia corrupción caso Koldo column"
finding-1380,0,"Bulgaria parliament confirms Russia-aligned Radev PM"
finding-187,0,"Somalia opposition MP condemns Mogadishu evictions"
finding-899,0,"Turkey Daltonlar Somali eski bakana suikast iddianame"
finding-1053,0,"Brazil JK assassinated ditadura report"
finding-700,0,"Russia Mosgorsud lifts ban on ЯПлакалъ"
