finding_id,is_on_topic,reasoning_note
finding-579,1,"Mali immigration DRC Five takeaways Macron Africa Forward Nairobi — direct"
finding-574,1,"Emmanuel Macron wants dialogue with Rwanda and DRC — direct"
finding-1367,1,"Macron escale Éthiopie après sommet Nairobi — direct"
finding-77,1,"French president onstage outburst Kenya Africa Forward overshadows — direct"
finding-520,1,"France move beyond colonial ties African leaders Kenya — direct"
finding-1377,1,"Sommet Africa Forward Nairobi pluie annonces partenariat — direct"
finding-582,1,"Macron speaks FRANCE 24 Africa Forward wraps up — direct"
finding-163,1,"Ruto Win-Win Africa-France Partnership Nairobi — direct"
finding-179,1,"Guterres Africa Leadership Speech Summit Nairobi — direct"
finding-1239,1,"Macron unveils 27 billion investment Africa partnership Kenya — direct"
finding-577,1,"Macron speaks France policies in Sahel countries dialogue — direct"
finding-575,1,"Deals new partnerships Africa-France summit sovereignty Ruto — direct"
finding-167,1,"French Companies Expand Ethiopia summit reposition — direct"
finding-210,1,"Tinubu calls reform global financial architecture Africa Forward — direct"
finding-641,1,"Nairobi summit France push to invest in Africa May 11 — direct"
finding-495,1,"Guterres highlights Africa leadership speech summit Nairobi — direct"
finding-791,1,"France wants dominate Africa Lumumba activist RT — direct"
finding-192,1,"Eliud Kipchoge Nairobi run Macron French connection — direct"
finding-203,1,"Africa is not a continent waiting Guterres — direct"
finding-967,1,"Tinubu stronger African economic integration Nairobi summit — direct"
finding-154,0,"All Africa Today digest May 13"
finding-205,1,"French national protesters Africa summit venue Nairobi — direct"
finding-782,0,"BRICS ministers meet India Middle East tensions"
finding-1375,0,"Sénégal experts FMI alternatives dette"
finding-200,0,"India-Africa forum partnership"
finding-1378,0,"DRC AFC/M23 repli Kamanyola"
finding-522,0,"Gabon social media clampdown internet freedoms"
finding-855,0,"Yago de la Cierva visita Papa León XIV"
finding-1402,0,"Climate change Africa COP31 Antalya"
finding-1394,0,"Jordan Bardella Franco-German reset migration"
finding-500,0,"Ambitious Great Green Wall slow progress Zamfara"
finding-165,0,"Africa Global South COP31 Türkiye Antalya"
finding-181,0,"Sudan Khartoum Nyala humanitarian aid"
finding-229,0,"Reunião Lula Trump respeito mútuo Durigan"
finding-227,0,"Durigan Brasil guerra minerais Brics G7"
finding-201,0,"Kenya leadership performance ideas"
finding-158,0,"Sudan UN deadlier phase drone strikes"
finding-175,0,"Nigeria WHO EU health support project diseases"
finding-668,0,"Brüssel Verteidigung Europas Ukraine US-Soldaten"
finding-897,0,"Rod Stewart Carlos III Trump sabandija"
finding-1364,0,"RDC États-Unis proposition loi sanctionner Rwanda M23"
finding-1203,0,"Geopolitics Trump-Xi Meeting"
finding-1339,0,"Somalia election standoff inflection point"
finding-162,0,"Uganda No More Time to Sleep Museveni Seventh Term"
finding-369,0,"PM Shehbaz Azerbaijan Aliyev Mideast peace"
finding-660,0,"Schwarz-Rot Koalitionstreffen Arbeitsprozess"
finding-185,0,"Finance Bill 2026 Kenyans needs"
finding-35,0,"Anadolu Morning Briefing May 13"
finding-798,0,"EU envoy talks Kremlin Peskov"
finding-910,0,"Trump Xi Pekin buluşuyor dünya kilitlendi"
finding-1129,0,"Carlos III programa Gobierno Starmer"
finding-685,0,"ESC EU-Dilemma Israel Gazastreifen"
finding-779,0,"Talks with Russia inevitable Europe Kremlin Dmitriev"
finding-43,1,"UN chief urges climate justice for Africa at Nairobi summit — direct"
finding-414,0,"Forum Korea-Africa ties energy critical mineral"
finding-690,0,"Schwarz-Rot Koalitionsausschuss Neustart"
finding-169,0,"Botswana host Athletics Championships CAA"
finding-288,0,"PAN Sheinbaum consulados EU Morena"
finding-919,0,"BAKIRKÖY GAYRİMENKUL legal notice"
finding-923,0,"BAKIRKÖY GAYRİMENKUL legal notice"
finding-166,0,"Chad Refugee Crisis Overwhelms Maternity UN"
finding-45,0,"10th Black Sea Balkans Security Forum Bucharest"
finding-324,0,"Binance Online encuentro blockchain"
finding-164,0,"South Africa Western Cape Mops Up Storm"
finding-977,0,"Food crisis insecurity Nigeria stakeholders"
finding-1396,0,"Britain embattled prime minister Starmer king's speech"
finding-436,0,"S Korea UAE forum AI ecosystem"
finding-583,0,"Whose art of the deal Trump Xi Beijing"
finding-1020,0,"Trump Xi China encontro projeção estabilidade"
finding-424,0,"PM meets UN human rights chief"
finding-1337,0,"Jihadist Separatist Rebels Mali Hold Your Fire"
finding-1258,0,"Iran Araghchi Russia Lavrov Delhi BRICS"
finding-265,0,"Expo CIHAC construcción modular"
finding-951,0,"Türkiye-Ermenistan normalleşme süreci"
finding-1064,0,"Flávio Bolsonaro recusaria cumprimentar Lula"
finding-39,0,"UN Bosnia high representative resignation Schmidt"
finding-521,0,"Trump-Xi summit superpower relations BBC"
finding-219,0,"Senator Yari political burden Zamfara APC"
finding-681,0,"Marktbericht Lufthansa Hauptversammlung Streiks"
finding-1391,0,"Commission's next big overhaul departments"
finding-329,0,"MC infraestructura mundialista CDMX"
finding-701,0,"Bundesregierung Koalition Arbeitsprozess CO2"
finding-155,0,"Joburg Mayor Defends Demolitions Illegal Structures"
finding-177,0,"Museveni Sworn in New Term Uganda President"
finding-171,0,"Kenya MPs Question Electoral Body 2027 Election Budget"
finding-1190,0,"Histórico discurso Churchill primer ministro batalla"
finding-602,0,"UK Starmer tells Cabinet continue four junior ministers"
finding-1344,0,"India's Role in a Disordered World diplomacy"
finding-819,0,"Por qué primer ministro Reino Unido aguanta Brexit"
