finding_id,is_on_topic,reasoning_note
finding-18,1,Al Jazeera commentary 'Things are not going so well for Russia' — war assessment
finding-21,1,mutual ceasefire-violation accusations
finding-47,1,Zelensky says Ukraine pushed Putin toward potential meeting
finding-56,0,Azerbaijani leader on EU border observers and Armenia — separate Azerbaijan-Armenia story
finding-131,1,Ukraine-Russia break US-brokered ceasefire
finding-132,0,UK sanctions Russian disinformation outfit over Armenia election plot — separate Armenia story
finding-133,1,EU ministers to discuss direct talks with Russia
finding-134,1,Ukraine reports multiple casualties on second day of Russia truce
finding-145,1,Ukraine rejects Schröder as EU negotiator
finding-147,1,Russian forces launch 250 attacks on Ukrainian border units
finding-148,1,Russian attacks on Kharkiv region
finding-150,1,Kallas: Russia has no right to appoint EU negotiator
finding-152,1,Russians shell 13 settlements in Kherson region
finding-153,1,war update: 180 combat engagements
finding-154,1,"Russia loses 920 troops, 76 artillery systems"
finding-155,1,Russians strike Zaporizhzhia 785 times
finding-158,1,Russian strike in Zaporizhzhia region
finding-263,1,Russia accuses Ukraine of breaking US-brokered truce
finding-426,1,Putin says Ukraine conflict 'coming to an end'
finding-444,1,Kallas criticizes Putin's Schröder mediator suggestion
finding-479,0,"Germany's business community frustrated and disillusioned — German economy commentary, no war framing"
finding-486,1,Could German ex-leader negotiate Ukraine peace — Schröder thread
finding-490,1,No comment after Schröder named by Putin
finding-496,1,"Tajani: Europe chooses negotiator, not Russia"
finding-521,0,ECB official attacks German opposition to UniCredit Commerzbank bid — banking M&A
finding-528,0,Russia seeks new African stronghold in Madagascar — Russia-Africa expansion
finding-559,0,"Söder demands results, holds Prämie dead — German domestic politics about Söder"
finding-563,1,Putin proposes Schröder as mediator — reactions mixed
finding-578,1,Russia uses organized crime for targeted killings — Russian hybrid-war activities
finding-588,1,"UK sanctions Russian propaganda outfits (Institute of Internet Development, EISI, ANO Dialogue) — Russian information-war infrastructure"
finding-589,1,Ukraine army-reform plan under war pressure
finding-596,0,"Kasperskaya on FSB internet blockings — Russian internet governance, not Ukraine war"
finding-597,1,Russians can travel Saudi visa-free but no direct flights due to war — war-fallout consumer story
finding-599,0,Maria Alyokhina interview about emigration/prison — Pussy Riot personal story
finding-602,1,Zelensky: Putin 'ready for real meetings'
finding-605,1,Putin names Schröder as preferred mediator
finding-606,1,war day 1537 with mutual ceasefire violations and weakened Russian parade
finding-607,0,Zhdanov FBK interview on Navalny biomaterials — Russian opposition movement matter
finding-608,0,"Sokurov Venice Biennale, Russian activist letter — Russian cultural politics"
finding-609,1,Russian journalist apologizes for 'double holiday' message to missing soldier's mother — Russian war coverage controversy
finding-610,1,Russia approved historical-education concept including SVO heroes — state war narrative
finding-617,1,Moscow May 9 celebration without internet — Victory Day in war context
finding-618,0,Venice Biennale report on Russian representatives — Russian cultural politics
finding-619,1,"Ukraine gives Russia POW exchange list, seeks US guarantees"
finding-621,1,EU and Ukraine reject Schröder as mediator
finding-623,1,Russian attacks kill civilians as Victory Day ceasefire ends
finding-625,1,"Russia 1,342,030 troops lost — General Staff count"
finding-627,1,Ukraine to 'respond in kind' if Russia refrains from mass aerial attacks
finding-628,1,analysis: Is Ukraine starting to win the war again?
finding-630,1,Putin says war almost over — daily war latest
finding-631,1,Germany skeptical of Putin's Schröder mediator proposal
finding-633,1,Is Russia still a superpower? — war-context piece
finding-641,1,"Russian MOD claim Ukraine violated Victory Day ceasefire 16,000+ times"
finding-645,1,Kremlin demands Yerevan explanations over Zelensky statements
finding-646,0,RT commentary on German rearmament — different policy story
finding-649,1,Kremlin explains impasse in Ukraine peace talks
finding-651,1,RT 'Soviet sacrifice in WWII' commentary — Victory Day commemoration in war context
finding-666,1,Russia-Ukraine mutual ceasefire-violation accusations (es)
finding-667,0,Putinism revising Soviet crimes / Stalin / Cheka — internal Russia ideological story
finding-803,1,Armenia thumbs nose at Kremlin with EU endorsement — Russia-Armenia tension over Zelensky visit
finding-804,1,Central Asian states abet Russian sanctions-busting — war funding context
finding-955,1,UK sanctions 85 Russians for disinformation and Ukrainian-child deportation
finding-1044,0,"Japan to send officials to Russia in May to protect business assets — Japan-Russia business, no war framing"
finding-1064,1,Russia-Ukraine mutual ceasefire-violation accusations
finding-1167,1,French report on identification/repatriation of children stolen by Russia
finding-1193,1,EU's Kallas rejects Schröder as Russia-Ukraine negotiator
