finding_id,is_on_topic,reasoning_note
finding-4,1,two more cruise-ship passengers positive
finding-35,1,last evacuation flights to depart Monday
finding-38,1,French passenger develops symptoms after evacuation
finding-89,1,more passengers from hantavirus-hit cruise test positive
finding-106,1,paratroopers jump onto Britain's remote island for hantavirus mission
finding-162,1,Ukraine records dozens of hantavirus cases each year — explainer in outbreak context
finding-175,1,South African scientists hunted rare hantavirus strain
finding-216,1,passengers begin to leave ship where outbreak occurred
finding-259,1,passengers evacuated with special measures
finding-281,1,'Family Table Was Left Empty' — hantavirus renews 2018 outbreak memories
finding-298,1,"US, French nationals from ship test positive"
finding-325,1,"US, French nationals test positive (dup)"
finding-373,1,N. Korea flags hantavirus danger amid cruise outbreak
finding-408,1,passengers leave hantavirus-hit cruise in Tenerife — WHO 'not another COVID'
finding-411,1,US and French nationals test positive after leaving ship
finding-416,1,French national shows symptoms on return
finding-427,1,army parachutes onto remote island to help Briton
finding-430,1,tourist hotspot 'end of the world' denies causing outbreak
finding-445,1,evacuated US/French passengers test positive
finding-447,1,passengers enter isolation facility after UK evacuation
finding-448,1,hantavirus ship becomes Tenerife tourist attraction
finding-470,1,US cruise passengers arrive home after positive test
finding-474,1,Endemic/epidemic/pandemic difference — DW outbreak explainer
finding-475,1,evacuated passengers begin returning home
finding-499,1,"French woman positive, symptoms worsened after return"
finding-523,1,two cruise evacuees test positive
finding-524,1,France 'break chain' after first positive case
finding-540,1,two more Hondius passengers positive
finding-562,1,German Hondius passengers on way home
finding-570,1,hantavirus suspicion on Atlantic island — help by parachute
finding-572,1,how the Hondius evacuation runs
finding-577,1,Spiegel: what speaks against a pandemic
finding-592,1,French and US cruise evacuees test positive (ru)
finding-616,1,"'Viruses don't care about politics' — Tenerife receives liner, passengers head home"
finding-636,1,US decision on cruise passengers 'may have risks' — WHO chief
finding-642,1,British army parachutes hantavirus response team
finding-656,1,El País live hantavirus outbreak — passengers to Netherlands
finding-662,1,"Fernando Simón comparison to ebola, not covid"
finding-709,1,Pandemic-treaty blockage at WHO amid hantavirus crisis
finding-746,1,hantavirus symptoms spread among evacuated passengers — WHO alert
finding-753,1,hantavirus evacuation
finding-832,1,Brote hantavirus crucero MV Hondius hoy EN VIVO
finding-861,1,American on cruise tests positive
finding-958,1,"Spain highlights coordination, thanks Guterres"
finding-961,1,two Irish repatriated passengers without symptoms
finding-979,1,woman in Alicante with suspected hantavirus to do third PCR
finding-993,1,four Germans arrive in Germany without symptoms
finding-1003,1,four Germans evacuated from MV Hondius reach Frankfurt hospital
finding-1017,1,"Sánchez highlights coordination, thanks Guterres"
finding-1055,1,evacuation flights leave Tenerife
finding-1084,1,two Indians aboard cruise evacuated to Netherlands
finding-1119,1,"British transport plane crosses 3000 km, drops paratroopers"
finding-1127,1,France detects first hantavirus case from Atlantic ship outbreak
finding-1189,1,France enforces strict measures after citizen tests positive
finding-1196,1,"one American positive, another mild symptoms"
