finding_id,is_on_topic,reasoning_note
finding-22,0,"US court pauses Trump's 10% global tariff — tariff dispute, no Iran framing in body"
finding-24,1,Trump backs Pakistan as Iran mediator — direct Iran diplomacy
finding-25,1,Mossad spy funneling Iranian intel hanged — direct Iran-Israel war espionage
finding-30,1,Iran's strategic edge widens; top officials warn US — direct Iran war framing
finding-33,1,Pentagon Iran war cost $29bn $1trn toll — direct (matches cluster $29B summary)
finding-34,1,IRGC dismantles weapons smuggling Israeli regime — direct Iran-Israel war
finding-36,1,US EIA oil market normalize 2027 Hormuz risks — direct Hormuz energy
finding-37,1,Trump 'virtual treason' media coverage Iran war — direct
finding-40,1,"Erdogan Türkiye food supply Iran Gulf — Iran-Gulf spillover, named in body"
finding-46,1,US doesn't need help with Iran; Trump heads to China — Iran is the subject
finding-47,0,"Israel orders evacuations 6 south Lebanon towns — Israel-Lebanon strikes, not Iran war"
finding-57,1,China urges Pakistan intensify Iran-US mediation Hormuz — direct
finding-62,1,UK pledges warship fighter jets Hormuz mission — direct UK Hormuz coalition
finding-64,1,UN resolution Hormuz backed 112 countries — direct Hormuz diplomacy
finding-71,0,"Singapore Lawrence Wong sea law open waterways — generic sea law, not Hormuz-specific in body"
finding-84,1,Chinese company tracked US bombers over Iran sanctions — direct Iran war intelligence
finding-87,0,"Israel strikes Lebanon 380 killed since April 17 ceasefire — Israel-Lebanon, not Iran-specific"
finding-89,1,Vietnam asks US oil tanker past Hormuz blockade — direct Hormuz blockade impact
finding-152,0,Zelensky Ukraine strikes Russian Orenburg gas — Russia-Ukraine deep strike
finding-286,0,Hilton Cancún beach club — tourism advertorial
finding-296,0,Telcel AT&T Altán Mundial 2026 espectro — Mexico tech
finding-298,0,Junior H Tour Estadios México 2027 — Mexican music
finding-299,0,Peso pierdas Fed recorte esperanza — Mexican peso markets
finding-300,0,Pati Chapoy mensaje Daniel Bisogno cielo infierno — Mexican celebrity
finding-314,0,Feminicidio Carolina Flores Erika N Polanco — Mexico feminicide case
finding-334,0,Tamil Nadu Floor Test Vijay TVK — India politics
finding-336,0,Vijay Floor Test astrologer — India politics
finding-348,1,Trump Downplays Differences With Xi Over Iran — direct Iran-focused Trump-Xi piece
finding-360,1,"Iran war costs soar past $29bn truce teeters — direct (Dawn, matches cluster summary)"
finding-370,0,Pakistan Senate JUI-F terrorism KP — Pakistan terrorism politics
finding-371,0,Karachi police arrest 'cocaine queenpin' — Pakistan crime
finding-372,0,PMDC MDCAT registration before going abroad — Pakistan medical
finding-410,0,Park Chan-wook Cannes jury chief — Korean film
finding-419,0,MMCA 80 years Korea-Japan artistic exchange — Korean art
finding-435,0,Kim Ha-seong Braves season debut — Korean baseball
finding-436,0,S. Korea UAE AI ecosystem partnership — Korea-UAE
finding-448,0,Kia military vehicles Romanian defense fair — Korea-Romania defense
finding-466,0,N. Korea Kim mortar howitzer capabilities — North Korea military
finding-469,0,"S. Korea 74,000 jobs April 16 months — Korean jobs data"
finding-479,0,Trump heads to China high-stakes summit Xi (Yonhap 2nd LD) — Trump-Xi summit framing
finding-480,0,Trump to depart for China summit Xi (LEAD) — Trump-Xi departure
finding-482,0,Trump to depart for China summit Xi — Trump-Xi departure
finding-487,0,SK hynix CEO meet Bill Gates — Korean tech executives
finding-495,0,Guterres Africa leadership Nairobi summit — Africa Forward summit
finding-508,0,Thief stealing Beyoncé music — celebrity crime
finding-511,0,Dali ship Baltimore bridge collapse charges — Baltimore bridge
finding-605,0,Borsa Europa Medio Oriente Trump Cina — Italian markets opening
finding-606,0,Borsa Milano rialzo 0.86% — Italian market quote
finding-607,1,Tajani Italy: no new Gulf operation without Parliament — direct Hormuz coalition decision
finding-608,0,Borsa Asia chiude positiva Trump Cina — Asian markets close
finding-610,0,Spread Btp Bund 75 punti — Italian bond spread
finding-611,0,L'oro stabile 4712 dollari — gold price quote
finding-613,0,Prezzo gas calo 46.13 euro Amsterdam — gas price quote
finding-614,0,Petrolio Wti 100.67 Brent 106.26 — oil price quote without Iran framing
finding-615,0,Thomas Massie ex hush money primary — US House primary
finding-616,0,Sam Altman Musk OpenAI court showdown — AI courtroom
finding-620,0,Nonprofits crisis federal funding cuts — US nonprofits
finding-622,0,Trump's China trip collides AI security fears — Trump-Xi AI angle
finding-631,1,Iran war and future of cheap flights FT — direct Iran war fuel-price impact on aviation
finding-633,0,Chinese companies Singapore Manus AI crackdown — Singapore tech
finding-639,0,1MDB Jho Low pardon Trump — Malaysia financier
finding-641,0,Nairobi summit France invest Africa — Africa Forward summit
finding-644,0,Cannes 2026 stars Hollywood backing — film festival
finding-646,0,Gaza displaced persons rats UN — Gaza humanitarian
finding-648,1,US Justice subpoena journalists Iran war coverage — direct Iran-war reporting subpoena
finding-679,0,Cum-Ex-Schlüsselfigur Berger 10 Jahre — German tax fraud
