finding_id,is_on_topic,reasoning_note
finding-16,1,"Iran war live + Trump-China trip; ties Iran war to summit context — direct"
finding-26,1,"UAE role in US-Israeli war on Iran ruling — direct US-Israeli war framing"
finding-27,1,"Iran-Oman Strait of Hormuz sovereign rights — direct Hormuz topic"
finding-28,1,"US-Israeli war as 'good vs evil' framing per Iran — direct"
finding-32,1,"Trump dismisses Iran response (not surrender letter) — direct"
finding-53,0,"Israeli drone strike in southern Lebanon — Israel-Lebanon, not Iran war proper"
finding-58,0,"Israeli strikes in Lebanon, paramedics killed — Israel-Lebanon, not Iran-specific"
finding-59,1,"$15m US reward for Iran-linked oil transfer info — direct Iran oil"
finding-60,1,"Oil prices fall on Iran ceasefire and China talks — direct"
finding-63,1,"Australia backs UK-France Hormuz mission — direct freedom-of-nav coalition"
finding-65,1,"Qatar-Saudi Arabia discuss Iran-US ceasefire — direct"
finding-72,1,"South Korea signals phased Hormuz mission support — direct coalition"
finding-108,0,"Trump landing in different China after 9 years — Trump-Xi summit framing, not Iran war"
finding-188,0,"Single-mum parenting trend piece — unrelated"
finding-230,0,"Brazilian TSE AI election regulation — unrelated"
finding-289,0,"Mexico Tabasco student stabbing — unrelated"
finding-303,0,"Mexico Sheinbaum/Los Ardillos Guerrero — unrelated"
finding-304,0,"Spanish hantavirus outbreak overview — hantavirus cluster, not Iran"
finding-306,0,"Mexico vitamin-serum deaths 500k peso reward — unrelated"
finding-313,0,"Sheinbaum on huachicol fiscal case — Mexico domestic, unrelated"
finding-333,0,"Spanish 'Trump a China' — Trump-Xi summit, not Iran war"
finding-339,1,"$29B in 60 days — Iran war cost vs US estimate — direct"
finding-367,0,"Bangladesh contraceptive crisis — unrelated"
finding-369,0,"PM Shehbaz-Aliyev Mideast peace efforts — borderline, not Iran-US/Hormuz specific"
finding-373,1,"Japan crisp packs colourless due to Iran war crunch — petrochemical spillover, direct"
finding-438,0,"Nongshim opens Russia sales branch — unrelated"
finding-442,0,"Hyundai Motor autonomous vehicles Gwangju — unrelated"
finding-443,0,"Industry minister Ulsan AI transformation — unrelated"
finding-446,1,"FM on Hormuz vessel strike attribution — direct Hormuz"
finding-447,0,"North Korea labor group congress — unrelated"
finding-475,1,"Seoul phased contribution to US Hormuz initiative — direct coalition"
finding-477,1,"Defense chief on Hormuz strait contribution review — direct"
finding-536,1,"Cost of US war on Iran mounting — direct"
finding-559,0,"7M kids in homes with loaded guns study — unrelated"
finding-609,0,"Italian hantavirus, English tourist negative — unrelated"
finding-612,0,"Italian euro at 1.1734 dollar — markets, no Iran framing"
finding-626,0,"Student loan debt delaying milestones — unrelated"
finding-645,1,"Shattered Iranian lives killed by bombings — direct Iran war casualties"
finding-650,0,"UK Starmer political survival — UK domestic, not Hormuz mission"
finding-689,0,"German Eisheiligen weather snow — unrelated"
finding-691,0,"German IDP report — unrelated"
finding-694,0,"German on Ukraine deep-strike tactics vs Russia — Russia-Ukraine war"
finding-703,0,"Milka chocolate shrinkflation — unrelated"
finding-731,0,"Russian VPN/internet system — unrelated"
finding-732,0,"Russian singer Linda searches — unrelated"
finding-733,0,"Russian books labelled for narcotics — unrelated"
finding-739,0,"Rosmolodezh chatbots for teenagers — unrelated"
finding-742,0,"Krasnodar school shooting — unrelated"
finding-745,0,"Russian on Trump-China trip with Putin angle — Trump-Xi summit framing, not Iran war"
finding-773,1,"Intelligence reports contradict Trump on Iran NYT — direct"
