finding_id,is_on_topic,reasoning_note
finding-2,1,"Trump and Xi to meet in Beijing — direct summit framing"
finding-4,1,"US-China head-to-head in 11 maps and charts — summit-framing context"
finding-54,1,"US-China trade talks in South Korea ahead of Trump visit — direct lead-up"
finding-70,0,"US-China scam-centre cooperation in Dubai — bilateral but not summit"
finding-86,1,"Temple-setting messaging for Trump's China visit — direct visit framing"
finding-88,1,"China-US trade talks kick off in Seoul ahead of summit — direct lead-up"
finding-92,1,"Nvidia Jensen Huang joins Trump China trip — named in summary"
finding-98,1,"Beijing prepping for Trump's visit (privacy screens, dogs) — direct"
finding-110,0,"French hantavirus patient critical — hantavirus cluster, unrelated"
finding-111,1,"US defence secretary joins Trump on China trip — direct delegation"
finding-112,0,"Beijing on Paraguay Taiwan visit 'chess pieces' — Taiwan diplomacy, not the summit itself"
finding-113,0,"Trump Golden Dome cost $1.2T — US missile defense, not summit"
finding-115,1,"Trump heads to Beijing seeking stability in Xi talks — direct"
finding-121,0,"Krasnodar school shooting — unrelated"
finding-282,0,"Mexico AIFA CIA explosion claim — unrelated"
finding-297,0,"Morena vs Maru Campos CIA agents — Mexico politics"
finding-301,0,"Pete Hegseth on Mexico cartels — US-Mexico, unrelated"
finding-302,0,"AMLO Marine secretary nephew route — Mexico domestic"
finding-305,0,"Cataluña festival in Mexico cava — unrelated"
finding-330,0,"Escritura artificial opinion — AI writing opinion piece"
finding-331,0,"El diablo cuelga su propio abrigo — Spanish opinion piece"
finding-335,1,"Opinion: Why Does Trump Suddenly Need Xi Jinping — direct summit opinion"
finding-341,0,"Telangana fake suicide video arrest — unrelated"
finding-342,0,"Telangana temple animal sacrifices — unrelated"
finding-343,0,"Saudi covert attacks on Iran amid Mideast war — Iran war, not summit"
finding-344,0,"Sonia Gandhi hospitalised — unrelated"
finding-368,0,"Pakistan SBP macroeconomic stability and Mideast war risk — unrelated to summit"
finding-374,0,"Imran Khan PTI sisters demand meeting — Pakistan domestic"
finding-375,0,"French minister on hantavirus mutation — unrelated"
finding-415,0,"Shipbuilders banks subcontractor financial support — unrelated"
finding-416,0,"Hyundai Motor autonomous vehicles Gwangju — unrelated"
finding-464,0,"Seoul shares open lower on US losses Mideast — unrelated"
finding-471,0,"Editorial from Korea JoongAng Daily — title alone non-summit"
finding-481,0,"Eagles beat Heroes in KBO — sports"
finding-543,0,"Labour unions on Starmer election — UK politics, not summit"
finding-558,0,"Omaha US House race — unrelated"
finding-659,1,"German market: investors bet on China as mediator — market reaction to summit"
finding-680,0,"WHO no all-clear on hantavirus cases — unrelated"
finding-683,0,"UK Starmer wants to stay in office — UK politics"
finding-686,0,"Solar parks in desert generate rain — unrelated"
finding-721,0,"Russian TV presenter Molchanov died — unrelated"
finding-722,0,"Russian Binance director sentenced 5 years — unrelated"
finding-748,0,"Russian books marking and drug dependency — unrelated"
finding-765,0,"New Russia sanctions individuals — unrelated"
finding-779,0,"Russia-Europe talks 'inevitable' Kremlin envoy — unrelated"
